0,2
0,5
0,7
0,12
0,14
0,20
0,23
0,27
0,32
0,33
0,34
1,2
1,9
1,19
1,28
1,29
1,35
1,37
1,41
2,0
2,1
2,5
2,13
2,32
2,39
2,42
3,7
3,13
3,34
4,1
4,8
4,10
4,26
4,32
4,41
5,5
5,9
5,22
5,24
5,27
5,35
5,36
6,1
6,9
6,10
6,13
6,29
6,30
6,34
7,3
7,17
7,20
7,25
7,29
7,30
7,31
7,39
8,9
8,16
8,20
8,32
8,34
8,39
8,41
9,3
9,6
9,14
9,15
9,17
9,26
9,30
9,31
9,38
9,42
10,13
10,14
10,17
10,20
10,21
10,22
10,28
10,29
10,32
10,35
10,36
10,42
11,3
11,4
11,5
11,7
11,14
11,17
11,19
11,20
11,22
11,29
11,36
12,0
12,3
12,14
12,16
12,21
12,26
12,28
12,32
13,3
13,4
13,8
13,13
13,16
13,17
13,26
13,32
13,36
13,39
14,3
14,4
14,5
14,8
14,9
14,12
14,18
14,22
14,34
15,0
15,9
15,10
15,11
15,13
15,19
15,38
15,39
16,0
16,1
16,6
16,15
16,17
16,28
16,29
16,31
16,36
16,38
16,40
17,1
17,3
17,9
17,31
17,38
18,7
18,12
18,14
18,17
18,22
18,23
18,28
18,37
18,38
18,41
19,5
19,16
19,21
19,23
19,24
19,30
19,31
19,34
20,2
20,3
20,12
20,15
20,21
20,23
20,30
20,41
21,6
21,7
21,11
21,13
21,14
21,20
21,22
21,26
21,29
21,33
21,16
21,17
21,24
21,32
21,37
21,39
21,41
22,2
22,18
22,23
22,30
23,1
23,8
23,9
23,10
23,18
23,36
24,7
24,8
24,13
24,19
24,23
24,29
24,31
25,4
25,8
25,12
25,21
25,23
25,27
25,35
25,39
26,0
26,7
26,9
26,11
26,18
26,19
26,20
26,24
26,30
27,7
27,14
27,19
27,23
27,34
27,36
27,37
28,3
28,5
28,22
28,39
28,42
29,26
29,27
29,30
29,32
29,33
29,38
30,4
30,9
30,12
30,13
30,15
30,19
30,20
30,21
30,39
30,40
31,2
31,10
31,14
31,15
31,25
31,32
31,36
31,37
31,39
31,40
32,1
32,7
32,17
32,19
32,37
33,5
33,13
33,16
33,27
33,29
33,32
34,10
34,14
34,16
34,25
34,26
34,31
34,36
35,16
35,17
35,30
35,41
36,14
36,20
36,26
37,4
37,5
37,7
37,14
37,16
37,22
37,23
37,25
37,30
37,34
37,39
38,1
38,7
38,9
38,18
